اسم الشركة,yesterday,predicted,recommendation
اعمار المدينة الاقتصادية,17.23,17.10824966430664,Buy
البنك الاهلي السعودي,38.65,38.61873245239258,Buy
البنك السعودي الاول,37.9,37.957889556884766,Don’t Buy
البنك السعودي الفرنسي,19.3,19.307212829589844,Don’t Buy
البنك السعودي للاستثمار,12.76,12.778789520263672,Don’t Buy
البنك العربي الوطني,18.97,18.968313217163086,Buy
الشركة التعاونية للتامين,130.2,107.07305908203125,Buy
الشركة الخليجية العامة للتامين التعاوني,13.17,13.040069580078125,Buy
الشركة السعودية لاعادة التامين,18.6,18.733016967773438,Don’t Buy
الشركة السعودية لانابيب الصلب,36.3,36.23554992675781,Buy
الشركة السعودية لانتاج الانابيب الفخارية,47.8,47.24501037597656,Buy
الشركة السعودية لخدمات السيارات والمعدات,63.68,59.85915756225586,Buy
الشركة السعودية لصناعة الورق,40.32,40.577301025390625,Don’t Buy
الشركة السعودية للاسماك,145.76,143.1809539794922,Buy
الشركة السعودية للتسويق,22.7,22.63798713684082,Buy
الشركة السعودية للتنمية الصناعية,33.69,33.47587966918945,Buy
الشركة السعودية للخدمات الارضية,36.15,36.177852630615234,Don’t Buy
الشركة السعودية للصادرات الصناعية,2.83,2.8003101348876953,Buy
الشركة السعودية للصناعات الاساسية,83.5,82.95429992675781,Buy
الشركة السعودية للصناعات الدوائية والمستلزمات الطبية,37.8,37.84012985229492,Don’t Buy
الشركة السعودية للصناعات المتطورة,28.65,28.71614646911621,Don’t Buy
الشركة السعودية للطباعة والتغليف,15.56,15.452945709228516,Buy
الشركة السعودية للعدد والادوات,38.7,38.22612762451172,Buy
الشركة السعودية للكهرباء,18.98,18.893619537353516,Buy
الشركة السعودية للنقل الجماعي,20.74,20.760610580444336,Don’t Buy
الشركة السعودية لمنتجات الالبان والاغذية,334.6,318.820068359375,Buy
الشركة العربية السعودية للتامين التعاوني,15.02,14.985065460205078,Buy
الشركة العربية للانابيب,6.39,6.294516086578369,Buy
الشركة العقارية السعودية,15.94,15.940093040466309,Don’t Buy
الشركة الكيميائية السعودية القابضة,4.32,4.31812858581543,Buy
الشركة المتحدة الدولية للمواصلات,79.0,77.14137268066406,Buy
الشركة المتحدة للالكترونيات,89.7,89.92744445800781,Don’t Buy
الشركة المتحدة للتامين التعاوني,8.74,8.476391792297363,Buy
الشركة المتقدمة للبتروكيماويات,39.1,38.77212905883789,Buy
الشركة الوطنية السعودية للنقل البحري,17.65,17.699901580810547,Don’t Buy
الشركة الوطنية لتصنيع وسبك المعادن,19.86,19.81658172607422,Buy
الشركة الوطنية للتامين,18.26,18.174514770507812,Buy
الشركة الوطنية للتربية و التعليم,118.2,115.24855041503906,Buy
الشركة الوطنية للتنمية الزراعية,27.85,27.185823440551758,Buy
الشركة الوطنية للرعاية الطبية,174.4,119.55929565429688,Buy
المجموعة السعودية للابحاث والاعلام,171.4,172.23214721679688,Don’t Buy
المجموعة السعودية للاستثمار الصناعي,22.94,22.788265228271484,Buy
المجموعة المتحدة للتامين التعاوني,13.74,13.54358196258545,Buy
بنك البلاد,30.3,30.488025665283203,Don’t Buy
بنك الجزيرة,11.96,11.963122367858887,Don’t Buy
بنك الرياض,28.5,28.559146881103516,Don’t Buy
شركة اتحاد اتصالات,49.05,48.713462829589844,Buy
شركة اتحاد الخليج الاهلية للتامين التعاوني,16.24,16.305442810058594,Don’t Buy
شركة اتحاد عذيب للاتصالات,51.51,49.635826110839844,Buy
شركة اتحاد مصانع الاسلاك,29.9,29.883678436279297,Buy
شركة ارتيكس للاستثمار الصناعي,16.68,16.641159057617188,Buy
شركة اسمنت الجوف,12.14,12.104902267456055,Buy
شركة اسمنت القصيم,63.7,63.52910614013672,Buy
شركة اسمنت المدينة,20.74,20.70545768737793,Buy
