اسم الشركة,yesterday,predicted,recommendation
اعمار المدينة الاقتصادية,17.23,17.23917579650879,Don’t Buy
البنك الاهلي السعودي,38.65,38.84310531616211,Don’t Buy
البنك السعودي الاول,37.9,37.91591262817383,Don’t Buy
البنك السعودي الفرنسي,19.3,19.3353214263916,Don’t Buy
البنك السعودي للاستثمار,12.76,12.737811088562012,Buy
البنك العربي الوطني,18.97,18.98980712890625,Don’t Buy
الشركة التعاونية للتامين,130.2,107.35234069824219,Buy
الشركة الخليجية العامة للتامين التعاوني,13.17,13.272333145141602,Don’t Buy
الشركة السعودية لاعادة التامين,18.6,18.53190803527832,Buy
الشركة السعودية لانابيب الصلب,36.3,35.97735595703125,Buy
الشركة السعودية لانتاج الانابيب الفخارية,47.8,48.200965881347656,Don’t Buy
الشركة السعودية لخدمات السيارات والمعدات,63.68,59.536338806152344,Buy
الشركة السعودية لصناعة الورق,40.32,40.14131546020508,Buy
الشركة السعودية للاسماك,145.76,146.57334899902344,Don’t Buy
الشركة السعودية للتسويق,22.7,22.86444091796875,Don’t Buy
الشركة السعودية للتنمية الصناعية,33.69,34.00353240966797,Don’t Buy
الشركة السعودية للخدمات الارضية,36.15,36.098426818847656,Buy
الشركة السعودية للصادرات الصناعية,2.83,2.849243640899658,Don’t Buy
الشركة السعودية للصناعات الاساسية,83.5,83.66947174072266,Don’t Buy
الشركة السعودية للصناعات الدوائية والمستلزمات الطبية,37.8,37.7932014465332,Buy
الشركة السعودية للصناعات المتطورة,28.65,28.591440200805664,Buy
الشركة السعودية للطباعة والتغليف,15.56,15.670279502868652,Don’t Buy
الشركة السعودية للعدد والادوات,38.7,38.801631927490234,Don’t Buy
الشركة السعودية للكهرباء,18.98,19.052072525024414,Don’t Buy
الشركة السعودية للنقل الجماعي,20.74,20.768495559692383,Don’t Buy
الشركة السعودية لمنتجات الالبان والاغذية,334.6,318.1114807128906,Buy
الشركة العربية السعودية للتامين التعاوني,15.02,15.103239059448242,Don’t Buy
الشركة العربية للانابيب,6.39,6.288705825805664,Buy
الشركة العقارية السعودية,15.94,16.003459930419922,Don’t Buy
الشركة الكيميائية السعودية القابضة,4.32,4.3065595626831055,Buy
الشركة المتحدة الدولية للمواصلات,79.0,77.11351013183594,Buy
الشركة المتحدة للالكترونيات,89.7,89.55413818359375,Buy
الشركة المتحدة للتامين التعاوني,8.74,8.857704162597656,Don’t Buy
الشركة المتقدمة للبتروكيماويات,39.1,39.229637145996094,Don’t Buy
الشركة الوطنية السعودية للنقل البحري,17.65,17.619508743286133,Buy
الشركة الوطنية لتصنيع وسبك المعادن,19.86,20.005407333374023,Don’t Buy
الشركة الوطنية للتامين,18.26,18.432003021240234,Don’t Buy
الشركة الوطنية للتربية و التعليم,118.2,115.28567504882812,Buy
الشركة الوطنية للتنمية الزراعية,27.85,27.145580291748047,Buy
الشركة الوطنية للرعاية الطبية,174.4,121.46133422851562,Buy
المجموعة السعودية للابحاث والاعلام,171.4,171.1334228515625,Buy
المجموعة السعودية للاستثمار الصناعي,22.94,23.056861877441406,Don’t Buy
المجموعة المتحدة للتامين التعاوني,13.74,13.80565357208252,Don’t Buy
بنك البلاد,30.3,30.1774959564209,Buy
بنك الجزيرة,11.96,11.961714744567871,Don’t Buy
بنك الرياض,28.5,28.49362564086914,Buy
شركة اتحاد اتصالات,49.05,48.508277893066406,Buy
شركة اتحاد الخليج الاهلية للتامين التعاوني,16.24,16.20134735107422,Buy
شركة اتحاد عذيب للاتصالات,51.51,49.696815490722656,Buy
شركة اتحاد مصانع الاسلاك,29.9,30.072389602661133,Don’t Buy
شركة ارتيكس للاستثمار الصناعي,16.68,16.841724395751953,Don’t Buy
شركة اسمنت الجوف,12.14,12.186530113220215,Don’t Buy
شركة اسمنت القصيم,63.7,63.999881744384766,Don’t Buy
شركة اسمنت المدينة,20.74,20.82845687866211,Don’t Buy
شركة اسمنت المنطقة الجنوبية,42.55,42.743247985839844,Don’t Buy
شركة اسمنت المنطقة الشرقية,38.1,38.19584655761719,Don’t Buy
شركة اسمنت المنطقة الشمالية,10.54,10.586772918701172,Don’t Buy
شركة اسمنت اليمامة,34.15,34.042091369628906,Buy
شركة اسمنت ام القري,17.02,17.110586166381836,Don’t Buy
شركة اسمنت تبوك,13.6,13.642203330993652,Don’t Buy
شركة اسمنت حائل,12.14,12.205001831054688,Don’t Buy
شركة اسمنت نجران,11.42,11.506063461303711,Don’t Buy
شركة اسمنت ينبع,34.45,34.49967956542969,Don’t Buy
شركة اسواق عبدالله العثيم,13.2,13.167439460754395,Buy
شركة الاتحاد للتامين التعاوني,16.56,16.545690536499023,Buy
شركة الاتصالات السعودية,40.4,40.503639221191406,Don’t Buy
شركة الاتصالات المتنقلة السعودية,14.08,14.05578899383545,Buy
شركة الاسمنت السعودية,52.6,52.66350555419922,Don’t Buy
شركة الاسمنت العربية,34.45,34.49296951293945,Don’t Buy
شركة الاندلس العقارية,19.96,19.897998809814453,Buy
شركة البابطين للطاقة والاتصالات,27.5,27.346736907958984,Buy
شركة البحر الاحمر العالمية,23.7,23.815258026123047,Don’t Buy
شركة البني التحتية المستدامة القابضة,30.7,30.625934600830078,Buy
شركة التامين العربية التعاونية,15.16,15.312018394470215,Don’t Buy
شركة التصنيع الوطنية,12.38,12.450281143188477,Don’t Buy
شركة التعدين العربية السعودية,48.55,48.168235778808594,Buy
شركة الجبس الاهلية,23.44,23.67929458618164,Don’t Buy
شركة الجزيرة تكافل تعاوني,17.0,16.999055862426758,Buy
شركة الجوف الزراعية,49.0,49.13218688964844,Don’t Buy
شركة الحسن غازي ابراهيم شاكر,24.29,24.23006248474121,Buy
شركة الحمادي القابضة,59.4,58.35021209716797,Buy
شركة الخزف السعودي,22.05,22.293109893798828,Don’t Buy
شركة الخليج للتدريب والتعليم,25.7,25.614465713500977,Buy
شركة الدرع العربي للتامين التعاوني,18.36,18.390323638916016,Don’t Buy
شركة الدريس للخدمات البترولية و النقليات,133.1,116.73258972167969,Buy
شركة الراجحي للتامين التعاوني,71.0,64.47978210449219,Buy
شركة الرياض للتعمير,21.12,21.13011360168457,Don’t Buy
شركة الزامل للاستثمار الصناعي,26.25,26.315418243408203,Don’t Buy
شركة الشرق الاوسط لصناعة وانتاج الورق,34.5,34.334346771240234,Buy
شركة الغاز والتصنيع الاهلية,68.0,67.53346252441406,Buy
شركة المراعي,55.8,55.72029113769531,Buy
شركة المشروعات السياحية,0.6,0.6082217693328857,Don’t Buy
شركة ثمار التنمية القابضة,48.81,48.71298599243164,Buy
شركة جرير للتسويق,15.58,15.617619514465332,Don’t Buy
شركة دار الاركان للتطوير العقاري,14.2,14.16203784942627,Buy
شركة دله للخدمات الصحية,171.8,169.11509704589844,Buy
شركة كاتريون للتموين القابضة,129.0,122.1535415649414,Buy
صندوق بنيان ريت,9.8,9.79904842376709,Buy
مجموعة استرا الصناعية,133.2,112.15090942382812,Buy
مجموعة سيرا القابضة,27.0,26.8712215423584,Buy
